The Exorcism,2024,4.2,"['Psychological Horror', 'Supernatural Horror', 'Horror', 'Thriller']",English,"Russell Crowe, Ryan Simpkins, Sam Worthington",Joshua John Miller
Bird,2024,7.1,"['ComingofAge', 'Drama']",English,"Nykiya Adams, Franz Rogowski, Barry Keoghan",Andrea Arnold
Crossing,2024,7.5,['Drama'],"Georgian, Turkish, English","Mzia Arabuli, Lucas Kankava, Deniz Dumanli",Levan Akin
The Last Showgirl,2024,6.1,['Drama'],English,"Pamela Anderson, Brenda Song, Kiernan Shipka",Gia Coppola
Rajkumar,2024,7.3,"['Drama', 'Family', 'Romance']",Bengali,"Shakib Khan, Courtney Coffey, Collin Chiucchini",Himel Ashraf
Pastor's Kid,2024,6.5,"['Biography', 'Drama']",English,"Courtney Bandeko, James C Burns, Krista Morin",Benjamin Ironside Koppin
Mind Body & Soul,2024,7.5,['Comedy'],English,"Conr Kinman, Melissa Bergland, Eric Wu",Robert Lang
Jackpot!,2024,5.8,"['Buddy Comedy', 'Dark Comedy', 'Slapstick', 'Action', 'Comedy']",English,"John Cena, Awkwafina, Simu Liu",Paul Feig
Armand,2024,6.4,"['Psychological Drama', 'Drama']","Norwegian, English","Renate Reinsve, Ellen Dorrit Petersen, ystein Rger",Halfdan Ullmann Tndel
Diamanti,2024,7.1,"['Comedy', 'Drama']",Italian,"Luisa Ranieri, Jasmine Trinca, Stefano Accorsi",Ferzan zpetek
Mea Culpa,2024,4.2,"['Erotic Thriller', 'Crime', 'Drama', 'Thriller']",English,"Kelly Rowland, Trevante Rhodes, Nick Sagar",Tyler Perry
All the Lost Ones,2024,4.3,"['Drama', 'SciFi', 'Thriller']",English,"Jasmine Mathews, Vinessa Antoine, Devon Sawa",Mackenzie Donaldson
Brewster's Millions: Christmas,2024,5.7,['Family'],English,"China Anne McClain, Romeo Miller, Rain Pryor",Patricia CuffieJones
Colors of Evil: Red,2024,6.4,"['Crime', 'Drama', 'Mystery', 'Thriller']",Polish,"Jakub Gierszal, Maja Ostaszewska, Zofia Jastrzebska",Adrian Panek
Ricochet,1991,6.2,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Thriller']","English, Spanish, German, French","Denzel Washington, John Lithgow, IceT",Russell Mulcahy
Career Opportunities,1991,5.8,"['FeelGood Romance', 'Romantic Comedy', 'Comedy', 'Romance']",English,"Frank Whaley, Jennifer Connelly, Dermot Mulroney",Bryan Gordon
Dice Rules,1991,5.3,"['StandUp', 'Comedy', 'Documentary']",English,"Andrew Dice Clay, Eddie Griffin, Sylvia Harman",Jay Dubin
Danzón,1991,6.8,['Drama'],Spanish,"Mara Rojo, Carmen Salinas, Tito Vasconcelos",Mara Novaro
A Scene at the Sea,1991,7.5,"['Comedy', 'Drama', 'Romance', 'Sport']",Japanese,"Claude Maki, Hiroko shima, Sabu Kawahara",Takeshi Kitano
Grand Tour: Disaster in Time,1991,6.4,"['Dark Comedy', 'Mystery', 'SciFi']",English,"Jeff Daniels, Ariana Richards, Emilia Crow",David Twohy
Den ofrivillige golfaren,1991,5.7,"['Comedy', 'Sport']","Swedish, Norwegian, English","Lasse berg, Jon Skolmen, Mats Bergman",Lasse berg
The Hideaway,1991,6.6,['Drama'],Danish,"Kasper Tuxen, Allan Winther, Ditte Grbl",Niels Grbl
Major League,1989,7.2,"['Baseball', 'Comedy', 'Sport']","English, Spanish, Japanese","Tom Berenger, Charlie Sheen, Corbin Bernsen",David S Ward
"Sex, Lies, and Videotape",1989,7.2,"['Dark Comedy', 'Drama']",English,"James Spader, Andie MacDowell, Peter Gallagher",Steven Soderbergh
Communion,1989,5.5,"['Biography', 'Drama', 'Horror', 'SciFi', 'Thriller']",English,"Christopher Walken, Lindsay Crouse, Frances Sternhagen",Philippe Mora
